image_id,label
0.jpg,maclura_pomifera
1.jpg,maclura_pomifera
2.jpg,maclura_pomifera
3.jpg,maclura_pomifera
4.jpg,maclura_pomifera
5.jpg,maclura_pomifera
6.jpg,ulmus_rubra
7.jpg,broussonettia_papyrifera
8.jpg,maclura_pomifera
9.jpg,broussonettia_papyrifera
10.jpg,maclura_pomifera
11.jpg,prunus_virginiana
12.jpg,maclura_pomifera
13.jpg,prunus_virginiana
14.jpg,broussonettia_papyrifera
15.jpg,maclura_pomifera
16.jpg,maclura_pomifera
17.jpg,broussonettia_papyrifera
18.jpg,maclura_pomifera
19.jpg,ulmus_rubra
20.jpg,maclura_pomifera
21.jpg,maclura_pomifera
22.jpg,prunus_virginiana
23.jpg,broussonettia_papyrifera
24.jpg,maclura_pomifera
25.jpg,broussonettia_papyrifera
26.jpg,ulmus_rubra
27.jpg,prunus_virginiana
28.jpg,maclura_pomifera
29.jpg,ulmus_rubra
30.jpg,prunus_virginiana
31.jpg,acer_rubrum
32.jpg,broussonettia_papyrifera
33.jpg,maclura_pomifera
34.jpg,cryptomeria_japonica
35.jpg,maclura_pomifera
36.jpg,maclura_pomifera
37.jpg,acer_rubrum
38.jpg,maclura_pomifera
39.jpg,acer_rubrum
40.jpg,ulmus_rubra
41.jpg,maclura_pomifera
42.jpg,acer_rubrum
43.jpg,acer_rubrum
44.jpg,cryptomeria_japonica
45.jpg,acer_rubrum
46.jpg,broussonettia_papyrifera
47.jpg,prunus_virginiana
48.jpg,prunus_virginiana
49.jpg,broussonettia_papyrifera
50.jpg,prunus_virginiana
51.jpg,prunus_virginiana
52.jpg,broussonettia_papyrifera
53.jpg,acer_rubrum
54.jpg,prunus_virginiana
55.jpg,broussonettia_papyrifera
56.jpg,maclura_pomifera
57.jpg,maclura_pomifera
58.jpg,broussonettia_papyrifera
59.jpg,ulmus_rubra
60.jpg,acer_rubrum
61.jpg,cryptomeria_japonica
62.jpg,broussonettia_papyrifera
63.jpg,prunus_virginiana
64.jpg,staphylea_trifolia
65.jpg,maclura_pomifera
66.jpg,prunus_virginiana
67.jpg,maclura_pomifera
68.jpg,acer_rubrum
69.jpg,acer_rubrum
70.jpg,acer_rubrum
71.jpg,cryptomeria_japonica
72.jpg,broussonettia_papyrifera
73.jpg,asimina_triloba
74.jpg,ulmus_rubra
75.jpg,acer_rubrum
76.jpg,staphylea_trifolia
77.jpg,staphylea_trifolia
78.jpg,prunus_virginiana
79.jpg,acer_rubrum
80.jpg,cryptomeria_japonica
81.jpg,cryptomeria_japonica
82.jpg,cryptomeria_japonica
83.jpg,ulmus_rubra
84.jpg,asimina_triloba
85.jpg,maclura_pomifera
86.jpg,cryptomeria_japonica
87.jpg,maclura_pomifera
88.jpg,ulmus_rubra
89.jpg,asimina_triloba
90.jpg,cryptomeria_japonica
91.jpg,prunus_virginiana
92.jpg,diospyros_virginiana
93.jpg,ulmus_rubra
94.jpg,prunus_virginiana
95.jpg,diospyros_virginiana
96.jpg,cryptomeria_japonica
97.jpg,tilia_cordata
98.jpg,diospyros_virginiana
99.jpg,tilia_cordata
100.jpg,maclura_pomifera
101.jpg,asimina_triloba
102.jpg,tilia_cordata
103.jpg,broussonettia_papyrifera
104.jpg,ulmus_pumila
105.jpg,tilia_cordata
106.jpg,maclura_pomifera
